rule,sourceType,sourceFile,sourceRow,partyName,currency,direction,rawBalance,ourRefNo,sourceInternalId
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,355,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009255,16989
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,355,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009255,16989
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,356,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009217,16988
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,356,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009217,16988
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,357,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009227,16987
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,357,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009227,16987
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,358,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009228,16986
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,358,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009228,16986
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,359,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009218,16985
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,359,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009218,16985
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,360,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009220,16984
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,360,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009220,16984
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,361,AMOREPACIFIC CANADA INC(5,CAD,settled,0,PEAI008776,16983
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,363,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009251,16980
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,363,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009251,16980
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,364,R&S MAPLE INVESTMENT,CAD,settled,0,PEOI009280,16979
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,365,KING BROS,CAD,settled,0,PEOI009263,16978
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,367,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009260,16976
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,367,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009260,16976
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,368,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009231,16975
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,368,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009231,16975
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,369,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEAI008776,16982
